epoch,lr,step,train_loss,train_rmse,val_coverage_95,val_loss,val_rmse
0,0.00014699999883305281,49,31.089550018310547,12.305512428283691,,,
0,0.0002969999914057553,99,19.868925094604492,6.736954212188721,,,
0,0.000299999926937744,149,0.5629483461380005,1.0908563137054443,,,
0,0.0002999996650032699,199,0.6620181202888489,1.1038501262664795,,,
0,0.00029999922844581306,249,0.6915058493614197,1.1128424406051636,,,
0,0.0002999986463692039,299,0.715019941329956,1.1311005353927612,,,
0,0.0002999978605657816,349,0.6814178824424744,1.1085450649261475,,,
0,0.000299996929243207,399,0.6676807403564453,1.1066827774047852,,,
0,0.00029999579419381917,449,0.6680476069450378,1.07846200466156,,,
0,0.00029999451362527907,499,0.9033384323120117,1.3158118724822998,,,
0,0.00029999305843375623,549,0.6509763598442078,1.0930702686309814,,,
0,0.00029999142861925066,599,0.7487460374832153,1.1531243324279785,,,
0,0.00029998962418176234,649,0.6722821593284607,1.1166061162948608,,,
0,,696,,,0.9407720565795898,0.703790009021759,1.1279913187026978
1,0.0002999876451212913,699,0.7476488351821899,1.1839287281036377,,,
1,0.0002999854914378375,749,0.6201392412185669,1.0775185823440552,,,
1,0.00029998316313140094,799,0.647510826587677,1.0854136943817139,,,
1,0.0002999806893058121,849,0.6540516018867493,1.091517448425293,,,
1,0.0002999780117534101,899,0.6365563273429871,1.069180965423584,,,
1,0.0002999751886818558,949,0.6653148531913757,1.0869743824005127,,,
1,0.0002999721618834883,999,0.8160878419876099,1.246785283088684,,,
1,0.0002999689895659685,1049,0.6892088651657104,1.119657039642334,,,
1,0.000299965642625466,1099,0.6000264883041382,1.0441402196884155,,,
1,0.0002999621210619807,1149,0.6825299859046936,1.1065200567245483,,,
1,0.0002999584248755127,1199,0.6571089625358582,1.0854278802871704,,,
1,0.000299954554066062,1249,0.6570267081260681,1.075108289718628,,,
1,0.0002999505086336285,1299,0.6530635356903076,1.094706654548645,,,
1,0.00029994628857821226,1349,0.6373001337051392,1.0722659826278687,,,
1,,1393,,,0.9393666982650757,0.6970105171203613,1.1298542022705078
2,0.0002999418938998133,1399,0.7022281885147095,1.1276334524154663,,,
2,0.00029993735370226204,1449,0.6739398241043091,1.1163947582244873,,,
2,0.0002999326097778976,1499,0.637069821357727,1.0633552074432373,,,
2,0.00029992772033438087,1549,0.6742372512817383,1.11459219455719,,,
2,0.00029992262716405094,1599,0.6732808351516724,1.1040254831314087,,,
2,0.0002999173884745687,1649,0.8847269415855408,1.3044178485870361,,,
2,0.00029991197516210377,1699,0.7075167298316956,1.1135953664779663,,,
2,0.0002999063872266561,1749,0.7066254019737244,1.1467541456222534,,,
2,0.00029990062466822565,1799,0.730319619178772,1.1657345294952393,,,
2,0.00029989468748681247,1849,0.6418023109436035,1.0746798515319824,,,
2,0.00029988857568241656,1899,0.6377958059310913,1.0815261602401733,,,
2,0.00029988231835886836,1949,0.7428001761436462,1.1731643676757812,,,
2,0.00029987585730850697,1999,0.6526044607162476,1.0870988368988037,,,
2,0.00029986922163516283,2049,1.0940340757369995,1.4766038656234741,,,
2,,2090,,,0.937654972076416,0.6930426955223083,1.1334989070892334
3,0.0002998624404426664,2099,0.6341803073883057,1.0806429386138916,,,
3,0.00029985548462718725,2149,0.6512007713317871,1.0907562971115112,,,
3,0.0002998483250848949,2199,0.6649206280708313,1.0996793508529663,,,
3,0.00029984102002345026,2249,0.6123816967010498,1.0528428554534912,,,
3,0.0002998335403390229,2299,0.79935622215271,1.2278149127960205,,,
3,0.00029982588603161275,2349,0.6407868266105652,1.074811577796936,,,
3,0.0002998180571012199,2399,0.6553757786750793,1.093516230583191,,,
3,0.0002998100535478443,2449,0.7350094318389893,1.185863971710205,,,
3,0.0002998019044753164,2499,0.6596910357475281,1.0946998596191406,,,
3,0.0002997935516759753,2549,0.6170835494995117,1.0574445724487305,,,
3,0.0002997850242536515,2599,0.6799235939979553,1.0880494117736816,,,
